site_code,lat,long
Cuyama_1,34.84872602,-119.483117
Cuyama_3,34.93824399,-119.48084
Carrizo_soda_open,35.0906062,-119.5772678
Carrizo_soda_shrubs,35.11921364,-119.6297363
